gene,score
ENSG00000205542,0.025179724210761353
ENSG00000122862,0.024665363284229518
ENSG00000160678,0.024281768287082117
ENSG00000171345,0.024128192396646517
ENSG00000111057,0.020689057837477615
ENSG00000162511,0.020343929477960564
ENSG00000170421,0.017628662839098
ENSG00000089356,0.017496573801288502
ENSG00000111348,0.016592067296021227
ENSG00000204592,0.015185322242863716
ENSG00000104894,0.015184017444232121
ENSG00000272398,0.01406831140216137
ENSG00000196154,0.013611647724627954
ENSG00000189334,0.01183849300353664
ENSG00000167642,0.011159016160451146
ENSG00000135480,0.010864802016895159
ENSG00000169442,0.010719429531808234
ENSG00000102879,0.010212171985605903
ENSG00000189143,0.009988282741634722
ENSG00000008394,0.009474238548947392
ENSG00000240972,0.009301833291316824
ENSG00000163435,0.00923435289364819
ENSG00000147168,0.008894128904523787
ENSG00000096696,0.00879567554701729
ENSG00000160862,0.008577394963439174
ENSG00000019582,0.008432209937646155
ENSG00000121966,0.008249489258214383
ENSG00000160307,0.0077953126641725325
ENSG00000267795,0.007750843047274609
ENSG00000111341,0.007060250300080549
ENSG00000125534,0.0069858026661057376
ENSG00000116824,0.00687951810707703
ENSG00000126264,0.006593977855491978
ENSG00000128340,0.006500766025916238
ENSG00000115165,0.006462099405809354
ENSG00000080166,0.006275892419192931
ENSG00000120215,0.006103843565389803
ENSG00000164919,0.00603331527390967
ENSG00000189171,0.005723810163310208
ENSG00000108821,0.005427857572679517
ENSG00000113140,0.00538142974230158
ENSG00000109846,0.005361075399827274
ENSG00000051523,0.005329965162344207
ENSG00000171346,0.005317224575039896
ENSG00000185201,0.005215375300587559
ENSG00000165215,0.005128305117707153
ENSG00000142669,0.005054426162883005
ENSG00000136490,0.005045269490010324
ENSG00000136167,0.0049086525616078135
ENSG00000089327,0.004818987382474014
ENSG00000008517,0.004791017004803398
ENSG00000124664,0.004687157210097895
ENSG00000185664,0.004591929582918802
ENSG00000184292,0.0045113716746469894
ENSG00000026025,0.004487908488211187
ENSG00000198851,0.004373048467991917
ENSG00000157514,0.004367627316520472
ENSG00000077984,0.004302241705323659
ENSG00000133639,0.0041992615487540805
ENSG00000169908,0.004145421619928669
ENSG00000128016,0.004070671228737313
ENSG00000163453,0.0038842408455185425
ENSG00000164692,0.003811981624868794
ENSG00000142173,0.003770167194162873
ENSG00000185885,0.0036876671103667677
