tissue	cell_type	n
skin of body	microglial cell	0
skin of body	melanocyte	0
skin of body	myofibroblast cell	0
skin of body	macrophage	25
skin of body	B cell	694
skin of body	dendritic cell	0
skin of body	lymphocyte	0
skin of body	monocyte	0
skin of body	CD4-positive, alpha-beta T cell	563
skin of body	CD8-positive, alpha-beta T cell	909
skin of body	myeloid cell	0
skin of body	plasma cell	0
skin of body	mature NK T cell	0
skin of body	regulatory T cell	0
skin of body	hematopoietic multipotent progenitor cell	0
skin of body	naive T cell	0
skin of body	T-helper 17 cell	0
skin of body	naive thymus-derived CD8-positive, alpha-beta T cell	0
skin of body	central memory CD8-positive, alpha-beta T cell	0
skin of body	CD8-positive, CD28-negative, alpha-beta regulatory T cell	0
skin of body	activated CD8-positive, alpha-beta T cell, human	0
skin of body	effector CD8-positive, alpha-beta T cell	0
skin of body	plasmacytoid dendritic cell, human	0
skin of body	malignant cell	10468
skin of body	T follicular helper cell	0
skin of body	epithelial cell of thymus	0
skin of body	unknown	66
liver	fibroblast	886
liver	T cell	2789
liver	mast cell	0
liver	endothelial cell	0
liver	microglial cell	0
liver	melanocyte	0
liver	myofibroblast cell	0
liver	macrophage	692
liver	B cell	601
liver	dendritic cell	0
liver	lymphocyte	0
liver	monocyte	0
liver	CD4-positive, alpha-beta T cell	0
liver	CD8-positive, alpha-beta T cell	0
liver	myeloid cell	0
liver	plasma cell	0
liver	mature NK T cell	0
liver	regulatory T cell	0
liver	hematopoietic multipotent progenitor cell	841
liver	naive T cell	0
liver	T-helper 17 cell	0
liver	naive thymus-derived CD8-positive, alpha-beta T cell	0
liver	central memory CD8-positive, alpha-beta T cell	0
liver	CD8-positive, CD28-negative, alpha-beta regulatory T cell	0
liver	activated CD8-positive, alpha-beta T cell, human	0
liver	effector CD8-positive, alpha-beta T cell	0
liver	plasmacytoid dendritic cell, human	0
liver	malignant cell	1768
liver	T follicular helper cell	0
liver	epithelial cell of thymus	1030
liver	unknown	78
kidney	fibroblast	48
kidney	T cell	0
kidney	mast cell	0
kidney	endothelial cell	191
kidney	microglial cell	0
kidney	melanocyte	0
kidney	myofibroblast cell	0
kidney	macrophage	0
kidney	B cell	0
kidney	dendritic cell	0
kidney	lymphocyte	16163
kidney	monocyte	0
kidney	CD4-positive, alpha-beta T cell	0
kidney	CD8-positive, alpha-beta T cell	0
kidney	myeloid cell	7535
kidney	plasma cell	0
kidney	mature NK T cell	0
kidney	regulatory T cell	0
kidney	hematopoietic multipotent progenitor cell	0
kidney	naive T cell	0
kidney	T-helper 17 cell	0
kidney	naive thymus-derived CD8-positive, alpha-beta T cell	0
kidney	central memory CD8-positive, alpha-beta T cell	0
kidney	CD8-positive, CD28-negative, alpha-beta regulatory T cell	0
kidney	activated CD8-positive, alpha-beta T cell, human	0
kidney	effector CD8-positive, alpha-beta T cell	0
kidney	plasmacytoid dendritic cell, human	0
kidney	malignant cell	6056
kidney	T follicular helper cell	0
kidney	epithelial cell of thymus	0
kidney	unknown	0
arm skin	fibroblast	117
arm skin	T cell	54
arm skin	mast cell	0
arm skin	endothelial cell	164
arm skin	microglial cell	0
arm skin	melanocyte	0
arm skin	myofibroblast cell	149
arm skin	macrophage	1054
arm skin	B cell	5739
arm skin	dendritic cell	44
arm skin	lymphocyte	0
arm skin	monocyte	0
arm skin	CD4-positive, alpha-beta T cell	1486
arm skin	CD8-positive, alpha-beta T cell	0
arm skin	myeloid cell	0
arm skin	plasma cell	92
arm skin	mature NK T cell	792
arm skin	regulatory T cell	1460
arm skin	hematopoietic multipotent progenitor cell	0
arm skin	naive T cell	0
arm skin	T-helper 17 cell	0
arm skin	naive thymus-derived CD8-positive, alpha-beta T cell	0
arm skin	central memory CD8-positive, alpha-beta T cell	2239
arm skin	CD8-positive, CD28-negative, alpha-beta regulatory T cell	1185
arm skin	activated CD8-positive, alpha-beta T cell, human	3352
arm skin	effector CD8-positive, alpha-beta T cell	0
arm skin	plasmacytoid dendritic cell, human	259
arm skin	malignant cell	1420
arm skin	T follicular helper cell	0
arm skin	epithelial cell of thymus	0
arm skin	unknown	0
skin of cheek	fibroblast	107
skin of cheek	T cell	0
skin of cheek	mast cell	0
skin of cheek	endothelial cell	51
skin of cheek	microglial cell	0
skin of cheek	melanocyte	27
skin of cheek	myofibroblast cell	27
skin of cheek	macrophage	62
skin of cheek	B cell	0
skin of cheek	dendritic cell	0
skin of cheek	lymphocyte	0
skin of cheek	monocyte	0
skin of cheek	CD4-positive, alpha-beta T cell	2117
skin of cheek	CD8-positive, alpha-beta T cell	0
skin of cheek	myeloid cell	0
skin of cheek	plasma cell	51
skin of cheek	mature NK T cell	45
skin of cheek	regulatory T cell	728
skin of cheek	hematopoietic multipotent progenitor cell	0
skin of cheek	naive T cell	0
skin of cheek	T-helper 17 cell	0
skin of cheek	naive thymus-derived CD8-positive, alpha-beta T cell	0
skin of cheek	central memory CD8-positive, alpha-beta T cell	1904
skin of cheek	CD8-positive, CD28-negative, alpha-beta regulatory T cell	117
skin of cheek	activated CD8-positive, alpha-beta T cell, human	0
skin of cheek	effector CD8-positive, alpha-beta T cell	0
skin of cheek	plasmacytoid dendritic cell, human	0
skin of cheek	malignant cell	46
skin of cheek	T follicular helper cell	0
skin of cheek	epithelial cell of thymus	0
skin of cheek	unknown	0
nose skin	fibroblast	0
nose skin	T cell	0
nose skin	mast cell	0
nose skin	endothelial cell	0
nose skin	microglial cell	0
nose skin	melanocyte	0
nose skin	myofibroblast cell	0
nose skin	macrophage	28
nose skin	B cell	0
nose skin	dendritic cell	0
nose skin	lymphocyte	0
nose skin	monocyte	0
nose skin	CD4-positive, alpha-beta T cell	68
nose skin	CD8-positive, alpha-beta T cell	0
nose skin	myeloid cell	0
nose skin	plasma cell	0
nose skin	mature NK T cell	0
nose skin	regulatory T cell	0
nose skin	hematopoietic multipotent progenitor cell	0
nose skin	naive T cell	0
nose skin	T-helper 17 cell	0
nose skin	naive thymus-derived CD8-positive, alpha-beta T cell	0
nose skin	central memory CD8-positive, alpha-beta T cell	97
nose skin	CD8-positive, CD28-negative, alpha-beta regulatory T cell	37
nose skin	activated CD8-positive, alpha-beta T cell, human	23
nose skin	effector CD8-positive, alpha-beta T cell	0
nose skin	plasmacytoid dendritic cell, human	0
nose skin	malignant cell	0
nose skin	T follicular helper cell	0
nose skin	epithelial cell of thymus	0
nose skin	unknown	0
skin of forehead	fibroblast	0
skin of forehead	T cell	123
skin of forehead	mast cell	0
skin of forehead	endothelial cell	0
skin of forehead	microglial cell	0
skin of forehead	melanocyte	0
skin of forehead	myofibroblast cell	0
skin of forehead	macrophage	0
skin of forehead	B cell	0
skin of forehead	dendritic cell	0
skin of forehead	lymphocyte	0
skin of forehead	monocyte	0
skin of forehead	CD4-positive, alpha-beta T cell	105
skin of forehead	CD8-positive, alpha-beta T cell	0
skin of forehead	myeloid cell	0
skin of forehead	plasma cell	0
skin of forehead	mature NK T cell	0
skin of forehead	regulatory T cell	1114
skin of forehead	hematopoietic multipotent progenitor cell	0
skin of forehead	naive T cell	0
skin of forehead	T-helper 17 cell	0
skin of forehead	naive thymus-derived CD8-positive, alpha-beta T cell	0
skin of forehead	central memory CD8-positive, alpha-beta T cell	5345
skin of forehead	CD8-positive, CD28-negative, alpha-beta regulatory T cell	2161
skin of forehead	activated CD8-positive, alpha-beta T cell, human	133
skin of forehead	effector CD8-positive, alpha-beta T cell	0
skin of forehead	plasmacytoid dendritic cell, human	0
skin of forehead	malignant cell	0
skin of forehead	T follicular helper cell	0
skin of forehead	epithelial cell of thymus	0
skin of forehead	unknown	0
skin of scalp	fibroblast	0
skin of scalp	T cell	0
skin of scalp	mast cell	0
skin of scalp	endothelial cell	0
skin of scalp	microglial cell	0
skin of scalp	melanocyte	0
skin of scalp	myofibroblast cell	0
skin of scalp	macrophage	0
skin of scalp	B cell	0
skin of scalp	dendritic cell	0
skin of scalp	lymphocyte	0
skin of scalp	monocyte	0
skin of scalp	CD4-positive, alpha-beta T cell	0
skin of scalp	CD8-positive, alpha-beta T cell	0
skin of scalp	myeloid cell	0
skin of scalp	plasma cell	0
skin of scalp	mature NK T cell	0
skin of scalp	regulatory T cell	2384
skin of scalp	hematopoietic multipotent progenitor cell	0
skin of scalp	naive T cell	1746
skin of scalp	T-helper 17 cell	0
skin of scalp	naive thymus-derived CD8-positive, alpha-beta T cell	101
skin of scalp	central memory CD8-positive, alpha-beta T cell	1658
skin of scalp	CD8-positive, CD28-negative, alpha-beta regulatory T cell	2190
skin of scalp	activated CD8-positive, alpha-beta T cell, human	1143
skin of scalp	effector CD8-positive, alpha-beta T cell	0
