gene,freq,mean_rank,score
ENSG00000251039,5,0.0,5.0
ENSG00000211837,5,1.0,4.999333333333333
ENSG00000211672,5,3.6,4.9976
ENSG00000211838,5,5.4,4.9964
ENSG00000254326,5,8.4,4.9944
ENSG00000211844,5,8.4,4.9944
ENSG00000108821,5,9.8,4.9934666666666665
ENSG00000157005,5,12.2,4.991866666666667
ENSG00000211639,5,12.6,4.9916
ENSG00000278661,5,15.4,4.989733333333334
ENSG00000211675,5,17.0,4.988666666666667
ENSG00000164692,5,18.6,4.9876
ENSG00000282122,5,18.8,4.987466666666666
ENSG00000158874,5,19.8,4.9868
ENSG00000259490,5,20.4,4.9864
ENSG00000211664,5,20.4,4.9864
ENSG00000111341,5,21.6,4.9856
ENSG00000211638,5,22.4,4.9850666666666665
ENSG00000211952,5,22.6,4.984933333333333
ENSG00000171199,5,23.8,4.984133333333333
ENSG00000211867,5,27.0,4.982
ENSG00000149021,5,27.4,4.981733333333334
ENSG00000211847,5,28.4,4.981066666666667
ENSG00000259337,5,29.2,4.980533333333334
ENSG00000181617,5,30.2,4.979866666666667
ENSG00000278857,5,31.6,4.978933333333333
ENSG00000251546,5,34.0,4.977333333333333
ENSG00000172236,5,35.0,4.976666666666667
ENSG00000211979,5,35.4,4.9764
ENSG00000163751,5,35.8,4.976133333333333
ENSG00000153002,5,37.8,4.9748
ENSG00000241794,5,38.8,4.9741333333333335
ENSG00000110244,5,39.4,4.973733333333334
ENSG00000261704,5,40.4,4.973066666666667
ENSG00000203785,5,41.4,4.9724
ENSG00000242534,5,43.0,4.971333333333333
ENSG00000167531,5,44.8,4.970133333333333
ENSG00000211642,5,45.2,4.969866666666666
ENSG00000223350,5,45.8,4.9694666666666665
ENSG00000115523,5,48.0,4.968
ENSG00000113140,5,48.2,4.967866666666667
ENSG00000243264,5,50.0,4.966666666666667
ENSG00000211720,5,51.6,4.9656
ENSG00000239571,5,52.0,4.965333333333334
ENSG00000177504,5,53.8,4.964133333333334
ENSG00000089199,5,55.6,4.962933333333333
ENSG00000197253,5,56.2,4.962533333333333
ENSG00000239975,5,56.6,4.962266666666666
ENSG00000253234,5,57.0,4.962
ENSG00000019582,5,57.2,4.961866666666666
ENSG00000011465,5,59.6,4.960266666666667
ENSG00000160180,5,60.4,4.959733333333333
ENSG00000211665,5,62.0,4.958666666666667
ENSG00000239910,5,64.4,4.957066666666667
ENSG00000185664,5,67.8,4.9548
ENSG00000211655,5,69.0,4.954
ENSG00000170373,5,69.4,4.953733333333333
ENSG00000275158,5,69.4,4.953733333333333
ENSG00000196565,5,71.8,4.952133333333333
ENSG00000130203,5,72.4,4.951733333333333
ENSG00000170323,5,73.4,4.951066666666667
ENSG00000163453,5,74.4,4.9504
ENSG00000211637,5,75.2,4.949866666666667
ENSG00000108702,5,75.6,4.9496
ENSG00000110245,5,75.8,4.949466666666667
ENSG00000211955,5,76.8,4.9488
ENSG00000211645,5,78.8,4.947466666666666
ENSG00000143556,5,79.4,4.947066666666666
ENSG00000254046,5,80.8,4.946133333333333
ENSG00000145192,5,81.8,4.9454666666666665
ENSG00000172551,5,82.0,4.945333333333333
ENSG00000161634,5,82.0,4.945333333333333
ENSG00000211652,5,83.6,4.944266666666667
ENSG00000211658,5,84.0,4.944
ENSG00000188508,5,84.0,4.944
ENSG00000163631,5,84.8,4.943466666666667
ENSG00000095917,5,84.8,4.943466666666667
ENSG00000210082,5,85.4,4.943066666666667
ENSG00000236535,5,86.6,4.942266666666667
ENSG00000254174,5,88.0,4.941333333333334
ENSG00000241244,5,89.2,4.940533333333334
ENSG00000135346,5,91.0,4.939333333333333
ENSG00000156234,5,92.0,4.938666666666666
ENSG00000276405,5,92.4,4.9384
ENSG00000110484,5,92.8,4.938133333333333
ENSG00000142515,5,96.0,4.936
ENSG00000211943,5,96.8,4.935466666666667
ENSG00000211649,5,98.4,4.9344
ENSG00000243353,5,101.6,4.932266666666667
ENSG00000136872,5,102.0,4.932
ENSG00000187026,5,102.6,4.9316
ENSG00000139329,5,103.6,4.930933333333333
ENSG00000145423,5,104.4,4.9304
ENSG00000102970,5,106.6,4.928933333333333
ENSG00000224041,5,107.0,4.9286666666666665
ENSG00000282639,5,107.2,4.928533333333333
ENSG00000129862,5,111.2,4.925866666666667
ENSG00000253691,5,111.2,4.925866666666667
ENSG00000231475,5,111.4,4.9257333333333335
ENSG00000211651,5,112.6,4.924933333333334
ENSG00000233590,5,114.4,4.923733333333334
ENSG00000253818,5,114.8,4.923466666666667
ENSG00000115386,5,115.0,4.923333333333334
ENSG00000148942,5,116.2,4.922533333333333
ENSG00000186847,5,116.8,4.922133333333333
ENSG00000107165,5,117.8,4.921466666666666
ENSG00000163736,5,119.8,4.920133333333333
ENSG00000211592,5,121.0,4.919333333333333
ENSG00000206177,5,126.8,4.915466666666667
ENSG00000275791,5,126.8,4.915466666666667
ENSG00000282651,5,127.0,4.915333333333333
ENSG00000211949,5,131.8,4.912133333333333
ENSG00000283293,5,132.8,4.911466666666667
ENSG00000166509,5,133.0,4.911333333333333
ENSG00000282939,5,135.2,4.909866666666667
ENSG00000211946,5,135.2,4.909866666666667
ENSG00000197353,5,135.4,4.9097333333333335
ENSG00000240250,5,140.8,4.906133333333333
ENSG00000211947,5,141.2,4.905866666666666
ENSG00000132693,5,141.6,4.9056
ENSG00000242241,5,141.8,4.905466666666666
ENSG00000223914,5,142.0,4.905333333333333
ENSG00000253239,5,142.2,4.9052
ENSG00000149534,5,142.4,4.9050666666666665
ENSG00000211717,5,145.8,4.9028
ENSG00000211942,5,145.8,4.9028
ENSG00000118523,5,146.8,4.9021333333333335
ENSG00000172724,5,148.4,4.901066666666667
ENSG00000211650,5,149.8,4.900133333333334
ENSG00000211661,5,149.8,4.900133333333334
ENSG00000101439,5,151.2,4.8992
ENSG00000242580,5,153.2,4.897866666666666
ENSG00000211725,5,153.8,4.897466666666666
ENSG00000011600,5,154.0,4.897333333333333
ENSG00000137077,5,154.2,4.8972
ENSG00000102055,5,154.8,4.8968
ENSG00000105374,5,155.0,4.8966666666666665
ENSG00000222726,5,156.4,4.895733333333333
ENSG00000204389,5,157.8,4.8948
ENSG00000211632,5,159.2,4.893866666666667
ENSG00000211669,5,160.8,4.8928
ENSG00000029559,5,161.2,4.892533333333334
ENSG00000237674,5,161.4,4.8924
ENSG00000115414,5,161.8,4.892133333333334
ENSG00000117601,5,162.6,4.8916
ENSG00000266079,5,163.4,4.891066666666666
ENSG00000211710,5,166.4,4.8890666666666664
ENSG00000163216,5,166.6,4.888933333333333
ENSG00000229314,5,167.2,4.888533333333333
ENSG00000211941,5,168.2,4.887866666666667
ENSG00000158578,5,168.2,4.887866666666667
ENSG00000171345,5,168.8,4.887466666666667
ENSG00000173369,5,170.0,4.886666666666667
ENSG00000253709,5,170.2,4.886533333333333
ENSG00000253822,5,170.6,4.886266666666667
ENSG00000253631,5,172.2,4.8852
ENSG00000211951,5,172.4,4.885066666666667
ENSG00000211950,5,172.6,4.884933333333334
ENSG00000236776,5,174.0,4.884
ENSG00000244734,5,174.4,4.883733333333334
ENSG00000163737,5,174.4,4.883733333333334
ENSG00000133636,5,174.8,4.883466666666667
ENSG00000124568,5,175.2,4.8832
ENSG00000211667,5,178.4,4.881066666666666
ENSG00000053438,5,180.6,4.8796
ENSG00000122862,5,181.0,4.879333333333333
ENSG00000122585,5,182.0,4.878666666666667
ENSG00000211745,5,182.0,4.878666666666667
ENSG00000172016,5,182.2,4.878533333333333
ENSG00000196611,5,185.0,4.876666666666667
ENSG00000270467,5,185.4,4.8764
ENSG00000255319,5,188.4,4.8744
ENSG00000159189,5,189.2,4.873866666666666
ENSG00000170345,5,189.8,4.873466666666666
ENSG00000143248,5,191.2,4.872533333333333
ENSG00000171195,5,195.8,4.869466666666667
ENSG00000241657,5,196.0,4.8693333333333335
ENSG00000277987,5,196.6,4.868933333333334
ENSG00000149591,5,198.8,4.867466666666667
ENSG00000211656,5,199.8,4.8668
ENSG00000171201,5,201.0,4.866
ENSG00000276566,5,201.4,4.865733333333333
ENSG00000236737,5,203.2,4.864533333333333
ENSG00000257017,5,205.2,4.8632
ENSG00000213088,5,205.4,4.863066666666667
ENSG00000173372,5,206.2,4.862533333333333
ENSG00000229769,5,206.8,4.862133333333333
ENSG00000270550,5,208.0,4.8613333333333335
ENSG00000113889,5,209.2,4.860533333333334
ENSG00000145824,5,209.4,4.8604
ENSG00000160182,5,209.6,4.860266666666667
ENSG00000128422,5,210.6,4.8596
ENSG00000235262,5,212.4,4.8584
ENSG00000205420,5,212.6,4.858266666666666
ENSG00000274752,5,215.8,4.856133333333333
ENSG00000223609,5,219.2,4.853866666666667
ENSG00000211714,5,219.6,4.8536
ENSG00000124564,5,220.0,4.8533333333333335
ENSG00000211724,5,220.6,4.8529333333333335
ENSG00000218996,5,221.8,4.852133333333334
ENSG00000118785,5,223.2,4.8512
ENSG00000188293,5,224.2,4.850533333333333
ENSG00000211662,5,224.2,4.850533333333333
ENSG00000249649,5,224.6,4.850266666666666
ENSG00000278030,5,224.8,4.850133333333333
ENSG00000099953,5,225.4,4.849733333333333
ENSG00000256590,5,227.6,4.8482666666666665
ENSG00000242766,5,231.4,4.8457333333333334
ENSG00000251994,5,233.6,4.844266666666667
ENSG00000230097,5,234.4,4.843733333333334
ENSG00000189058,5,236.0,4.842666666666666
ENSG00000276953,5,236.2,4.842533333333333
ENSG00000237254,5,238.0,4.841333333333333
ENSG00000211654,5,238.2,4.8412
ENSG00000211668,5,239.2,4.840533333333333
ENSG00000242992,5,243.2,4.837866666666667
ENSG00000211734,5,243.8,4.837466666666667
ENSG00000268751,5,245.0,4.836666666666667
ENSG00000225138,5,245.6,4.836266666666667
ENSG00000167768,5,246.8,4.835466666666667
ENSG00000241566,5,247.6,4.834933333333334
ENSG00000130173,5,247.8,4.8347999999999995
ENSG00000012223,5,248.0,4.834666666666667
ENSG00000100448,5,250.4,4.833066666666666
ENSG00000183747,5,251.0,4.832666666666666
ENSG00000211727,5,254.8,4.830133333333333
ENSG00000159763,5,256.0,4.8293333333333335
ENSG00000243051,5,257.4,4.8284
ENSG00000204959,5,259.4,4.827066666666667
ENSG00000237702,5,259.6,4.826933333333334
ENSG00000211857,5,260.0,4.826666666666666
ENSG00000211598,5,263.4,4.8244
ENSG00000243323,5,265.4,4.823066666666667
ENSG00000124935,5,266.6,4.822266666666667
ENSG00000235763,5,269.6,4.820266666666667
