gene,freq,mean_rank,score,symbol
ENSG00000106133,4,1440.25,3.039833333333333,NSUN5P2
ENSG00000277494,4,1443.5,3.0376666666666665,GPIHBP1
ENSG00000237943,4,1453.5,3.031,PRKCQ-AS1
ENSG00000184292,4,1454.25,3.0305,TACSTD2
ENSG00000122679,4,1466.25,3.0225,RAMP3
ENSG00000004799,4,1467.5,3.0216666666666665,PDK4
ENSG00000111799,4,1479.25,3.0138333333333334,COL12A1
ENSG00000134871,4,1485.5,3.009666666666667,COL4A2
ENSG00000213713,3,395.6666666666667,2.736222222222222,PIGCP1
ENSG00000259125,3,476.3333333333333,2.6824444444444446,LRP1-AS
ENSG00000264031,3,489.0,2.674,ABHD15-AS1
ENSG00000178395,3,503.0,2.6646666666666667,CCDC185
ENSG00000276058,3,509.3333333333333,2.6604444444444444,STMN1P1
ENSG00000234911,3,523.0,2.651333333333333,TEX21P
ENSG00000162947,3,534.0,2.644,LINC01931
ENSG00000228067,3,550.0,2.6333333333333333,LINC01740
ENSG00000137634,3,576.6666666666666,2.6155555555555554,NXPE4
ENSG00000260220,3,585.0,2.61,CCDC187
ENSG00000239794,3,628.6666666666666,2.580888888888889,RN7SL653P
ENSG00000212370,3,677.6666666666666,2.5482222222222224,RNU6-482P
ENSG00000155622,3,738.3333333333334,2.5077777777777777,XAGE2
ENSG00000258016,3,756.0,2.496,HIGD1AP1
ENSG00000007001,3,756.3333333333334,2.4957777777777777,UPP2
ENSG00000240392,3,789.0,2.474,RPL9P3
ENSG00000264448,3,825.6666666666666,2.4495555555555555,MIR378D2HG
ENSG00000240823,3,860.0,2.4266666666666667,RN7SL23P
ENSG00000236397,3,864.6666666666666,2.423555555555556,DDX11L2
ENSG00000154608,3,878.3333333333334,2.4144444444444444,CEP170P1
ENSG00000240828,3,881.0,2.4126666666666665,RPL21P4
ENSG00000231171,3,882.6666666666666,2.411555555555556,LINC01098
ENSG00000248227,3,897.6666666666666,2.4015555555555554,LINC02513
ENSG00000104722,3,908.0,2.3946666666666667,NEFM
ENSG00000224464,3,935.3333333333334,2.3764444444444446,PGAM1P6
ENSG00000258710,3,943.6666666666666,2.370888888888889,LINC01193
ENSG00000186895,3,948.3333333333334,2.367777777777777,FGF3
ENSG00000176933,3,951.6666666666666,2.365555555555556,TOB2P1
ENSG00000176826,3,968.6666666666666,2.354222222222222,FKBP9P1
ENSG00000228938,3,972.6666666666666,2.351555555555556,SNRPD2P1
ENSG00000233971,3,979.6666666666666,2.346888888888889,RPS20P10
ENSG00000282320,3,982.3333333333334,2.345111111111111,TRBJ1-1
ENSG00000214415,3,985.3333333333334,2.343111111111111,GNAT3
ENSG00000228847,3,992.0,2.3386666666666667,ATP5MC2P4
ENSG00000074276,3,1007.6666666666666,2.328222222222222,CDHR2
ENSG00000225924,3,1008.0,2.328,TAB2-AS1
ENSG00000188992,3,1009.6666666666666,2.326888888888889,LIPI
ENSG00000200403,3,1020.0,2.32,RNU6-1099P
ENSG00000122136,3,1029.0,2.314,OBP2A
ENSG00000258511,3,1033.6666666666667,2.310888888888889,LINC02295
ENSG00000254791,3,1035.0,2.31,FAR1-IT1
ENSG00000092345,3,1037.3333333333333,2.3084444444444445,DAZL
ENSG00000174460,3,1042.6666666666667,2.3048888888888888,ZCCHC12
ENSG00000224476,3,1046.0,2.302666666666666,RPL36P16
ENSG00000172967,3,1047.0,2.302,XKR3
ENSG00000228502,3,1052.3333333333333,2.2984444444444447,EEF1A1P11
ENSG00000257488,3,1062.0,2.292,LINC02354
ENSG00000173237,3,1065.0,2.29,C11orf86
ENSG00000229236,3,1084.3333333333333,2.277111111111111,TTTY10
ENSG00000264916,3,1090.0,2.273333333333333,RN7SL230P
ENSG00000261645,3,1103.0,2.264666666666667,DISC1FP1
ENSG00000233435,3,1106.3333333333333,2.2624444444444443,AGGF1P2
ENSG00000176601,3,1106.3333333333333,2.2624444444444443,MAP3K19
ENSG00000279066,3,1116.6666666666667,2.2555555555555555,HEXD-IT1
ENSG00000225137,3,1121.6666666666667,2.252222222222222,DYNC1I2P1
ENSG00000259781,3,1137.0,2.242,HMGB1P6
ENSG00000250331,3,1141.3333333333333,2.2391111111111117,LINC01340
ENSG00000275549,3,1144.0,2.2373333333333334,STPG3-AS1
ENSG00000215244,3,1149.3333333333333,2.233777777777778,LINC02649
ENSG00000272837,3,1153.3333333333333,2.2311111111111117,OR10AE3P
ENSG00000212163,3,1158.3333333333333,2.227777777777778,SNORD91A
ENSG00000242808,3,1173.6666666666667,2.2175555555555557,SOX2-OT
ENSG00000165799,3,1176.3333333333333,2.215777777777778,RNASE7
ENSG00000244641,3,1176.3333333333333,2.215777777777778,RPS26P43
ENSG00000164438,3,1181.3333333333333,2.2124444444444444,TLX3
ENSG00000232316,3,1187.6666666666667,2.208222222222222,LINC02518
ENSG00000219355,3,1192.6666666666667,2.2048888888888887,RPL31P52
ENSG00000232429,3,1194.0,2.204,RPL21P131
ENSG00000233730,3,1194.0,2.204,LINC01765
ENSG00000250011,3,1216.6666666666667,2.188888888888889,HMGB1P3
ENSG00000283047,3,1230.0,2.18,FRG1FP
ENSG00000258404,3,1235.6666666666667,2.176222222222222,LINC02320
ENSG00000236330,3,1238.3333333333333,2.1744444444444446,RPL5P9
ENSG00000132446,3,1243.3333333333333,2.171111111111111,FTHL17
ENSG00000250902,3,1243.3333333333333,2.171111111111111,SMAD1-AS1
ENSG00000185002,3,1247.0,2.1686666666666667,RFX6
ENSG00000227887,3,1248.0,2.168,RPS26P13
ENSG00000140835,3,1256.0,2.1626666666666665,CHST4
ENSG00000226891,3,1257.3333333333333,2.161777777777778,LINC01359
ENSG00000185275,3,1259.6666666666667,2.160222222222222,CD24P4
ENSG00000213300,3,1262.6666666666667,2.1582222222222223,HNRNPA3P6
ENSG00000232606,3,1268.3333333333333,2.1544444444444446,LINC01412
ENSG00000234354,3,1279.6666666666667,2.146888888888889,RPS26P47
ENSG00000186529,3,1284.3333333333333,2.143777777777778,CYP4F3
ENSG00000144820,3,1289.6666666666667,2.140222222222222,ADGRG7
ENSG00000241282,3,1291.0,2.139333333333333,RPL34P33
ENSG00000182814,3,1295.3333333333333,2.1364444444444444,FUNDC2P2
ENSG00000184330,3,1296.3333333333333,2.1357777777777778,S100A7A
ENSG00000187527,3,1302.0,2.132,ATP13A5
