gene,score
ENSG00000154269,1.0
ENSG00000164919,1.0
ENSG00000160683,1.0
ENSG00000161649,1.0
ENSG00000117399,1.0
ENSG00000143320,1.0
ENSG00000147647,1.0
ENSG00000163520,1.0
ENSG00000150337,1.0
ENSG00000170128,1.0
ENSG00000115523,1.0
ENSG00000187955,1.0
ENSG00000105664,1.0
ENSG00000137731,1.0
ENSG00000168329,1.0
ENSG00000096696,1.0
ENSG00000078401,1.0
ENSG00000167468,1.0
ENSG00000121966,1.0
ENSG00000170323,1.0
ENSG00000112149,1.0
ENSG00000164932,1.0
ENSG00000149564,1.0
ENSG00000166147,1.0
ENSG00000120885,1.0
ENSG00000163435,1.0
ENSG00000163508,1.0
ENSG00000094963,1.0
ENSG00000172116,1.0
ENSG00000153563,1.0
ENSG00000132002,1.0
ENSG00000277494,1.0
ENSG00000089327,1.0
ENSG00000091986,1.0
ENSG00000162998,1.0
ENSG00000173762,1.0
ENSG00000163430,1.0
ENSG00000047457,1.0
ENSG00000126353,1.0
ENSG00000133048,1.0
ENSG00000167286,1.0
ENSG00000204262,1.0
ENSG00000154165,1.0
ENSG00000115165,1.0
ENSG00000187957,1.0
ENSG00000123689,1.0
ENSG00000158050,1.0
ENSG00000143297,1.0
ENSG00000160856,1.0
ENSG00000117281,1.0
ENSG00000117560,1.0
ENSG00000203747,1.0
ENSG00000074800,1.0
ENSG00000060718,1.0
ENSG00000143196,1.0
ENSG00000122223,1.0
ENSG00000163534,1.0
ENSG00000233355,1.0
ENSG00000228253,1.0
ENSG00000136167,1.0
ENSG00000198542,1.0
ENSG00000067082,1.0
ENSG00000101335,1.0
ENSG00000101608,1.0
ENSG00000100985,1.0
ENSG00000211949,1.0
ENSG00000253755,1.0
ENSG00000270550,1.0
ENSG00000282651,1.0
ENSG00000211941,1.0
ENSG00000197614,1.0
ENSG00000160255,1.0
ENSG00000008394,1.0
ENSG00000087245,1.0
ENSG00000235532,1.0
ENSG00000100292,1.0
ENSG00000168685,1.0
ENSG00000167779,1.0
ENSG00000167476,1.0
ENSG00000148346,1.0
ENSG00000234883,1.0
ENSG00000090382,1.0
ENSG00000167768,1.0
ENSG00000007264,1.0
ENSG00000240972,1.0
ENSG00000169550,1.0
ENSG00000196091,1.0
ENSG00000263639,1.0
ENSG00000125148,1.0
ENSG00000211644,1.0
ENSG00000211649,1.0
ENSG00000211653,1.0
ENSG00000125538,1.0
ENSG00000205358,1.0
ENSG00000188508,1.0
ENSG00000166927,1.0
ENSG00000164120,1.0
ENSG00000131097,1.0
ENSG00000211659,1.0
ENSG00000211660,1.0
ENSG00000211662,1.0
ENSG00000211666,1.0
ENSG00000099953,1.0
ENSG00000131981,1.0
ENSG00000163453,1.0
ENSG00000166482,1.0
ENSG00000139187,1.0
ENSG00000132465,1.0
ENSG00000100079,1.0
ENSG00000278196,1.0
ENSG00000254709,1.0
ENSG00000211677,1.0
ENSG00000211679,1.0
ENSG00000101825,1.0
ENSG00000102854,1.0
ENSG00000139329,1.0
ENSG00000136490,1.0
ENSG00000122641,1.0
ENSG00000089692,1.0
ENSG00000227507,1.0
ENSG00000204482,1.0
ENSG00000242574,1.0
ENSG00000204257,1.0
ENSG00000004776,1.0
ENSG00000204389,1.0
ENSG00000204592,1.0
ENSG00000129988,1.0
ENSG00000125968,1.0
ENSG00000147168,1.0
ENSG00000237541,1.0
ENSG00000128052,1.0
ENSG00000146678,1.0
ENSG00000146674,1.0
ENSG00000120215,1.0
ENSG00000171223,1.0
ENSG00000110079,1.0
ENSG00000115541,1.0
ENSG00000080824,1.0
ENSG00000125144,1.0
ENSG00000185885,1.0
ENSG00000142089,1.0
ENSG00000153822,1.0
ENSG00000138722,1.0
ENSG00000008517,1.0
ENSG00000038945,1.0
ENSG00000163106,1.0
ENSG00000171346,1.0
ENSG00000171345,1.0
ENSG00000186847,1.0
ENSG00000186832,1.0
ENSG00000257017,1.0
ENSG00000128422,1.0
ENSG00000134240,1.0
ENSG00000258512,1.0
ENSG00000258616,1.0
ENSG00000173110,1.0
ENSG00000167656,1.0
ENSG00000111057,1.0
ENSG00000170421,1.0
ENSG00000111341,1.0
ENSG00000012223,1.0
ENSG00000140968,1.0
ENSG00000223784,1.0
ENSG00000086696,1.0
ENSG00000211592,1.0
ENSG00000211598,1.0
ENSG00000204866,1.0
ENSG00000150045,1.0
ENSG00000167754,1.0
ENSG00000167755,1.0
ENSG00000110492,1.0
ENSG00000135480,1.0
ENSG00000205426,1.0
ENSG00000170523,1.0
ENSG00000170454,1.0
ENSG00000185479,1.0
ENSG00000205420,1.0
ENSG00000186081,1.0
ENSG00000129455,1.0
ENSG00000106211,1.0
ENSG00000185201,1.0
ENSG00000126709,1.0
ENSG00000171476,1.0
ENSG00000187608,1.0
ENSG00000242258,1.0
ENSG00000111537,1.0
ENSG00000017427,1.0
ENSG00000156738,1.0
ENSG00000111796,1.0
ENSG00000245954,1.0
ENSG00000005102,1.0
ENSG00000248323,1.0
ENSG00000236481,1.0
ENSG00000248810,1.0
ENSG00000115461,1.0
ENSG00000172551,1.0
ENSG00000163563,1.0
ENSG00000111716,1.0
ENSG00000198502,1.0
ENSG00000136689,1.0
ENSG00000255733,1.0
ENSG00000134539,1.0
ENSG00000213809,1.0
ENSG00000183542,1.0
ENSG00000205810,1.0
ENSG00000205809,1.0
ENSG00000134545,1.0
ENSG00000256039,1.0
ENSG00000205056,1.0
ENSG00000247982,1.0
ENSG00000235142,1.0
ENSG00000283683,1.0
ENSG00000137673,1.0
ENSG00000096384,1.0
